arxiv_id,title,abstract,published_date,updated_date,primary_category,categories,authors,doi,journal_reference,pdf_link
2507.13343v1,Taming Diffusion Transformer for Real-Time Mobile Video Generation,"Diffusion Transformers (DiT) have shown strong performance in video
generation tasks, but their high computational cost makes them impractical for
resource-constrained devices like smartphones, and real-time generation is even
more challenging. In this work, we propose a series of novel optimizations to
significantly accelerate video generation and enable real-time performance on
mobile platforms. First, we employ a highly compressed variational autoencoder
(VAE) to reduce the dimensionality of ...",2025-07-17,2025-07-17,cs.CV,"cs.CV,eess.IV",Yushu Wu; Yanyu Li; Anil Kag; Ivan Skorokhodov; Willi Menapace; Ke Ma; Arpit Sahni; Ju Hu; Aliaksandr Siarohin; Dhritiman Sagar; Yanzhi Wang; Sergey Tulyakov,,,http://arxiv.org/pdf/2507.13343v1
2507.13342v1,"Expansion creates spin-glass order in finite-connectivity models: a
  rigorous and intuitive approach from the theory of LDPC codes","Complex free-energy landscapes with many local minima separated by large
barriers are believed to underlie glassy behavior across diverse physical
systems. This is the heuristic picture associated with replica symmetry
breaking (RSB) in spin glasses, but RSB has only been rigorously verified for
certain mean-field models with all-to-all connectivity. In this work, we give a
rigorous proof of finite temperature spin glass order for a family of models
with local interactions on finite-connectivity...",2025-07-17,2025-07-17,cond-mat.stat-mech,"cond-mat.stat-mech,cond-mat.dis-nn,math-ph,math.MP",Benedikt Placke; Grace M. Sommers; Nikolas P. Breuckmann; Tibor Rakovszky; Vedika Khemani,,,http://arxiv.org/pdf/2507.13342v1
2507.13341v1,"$\texttt{raccoon}$: A Python package for removing wiggle artifacts in
  the JWST NIRSpec integral field spectroscopy","$\texttt{raccoon}$ is a Python package for removing resampling noise -
commonly referred to as ""wiggles'' - from spaxel-level spectra in datacubes
obtained from the JWST Near Infrared Spectrograph's (NIRSpec) integral field
spectroscopy (IFS) mode. These wiggles arise as artifacts during resampling of
the 2D raw data into 3D datacubes, due to the point spread function (PSF) being
undersampled. The standard JWST data reduction pipeline does not correct for
this noise. The wiggle artifacts can sig...",2025-07-17,2025-07-17,astro-ph.IM,astro-ph.IM,Anowar J. Shajib,,,http://arxiv.org/pdf/2507.13341v1
2507.13340v1,Latent Policy Steering with Embodiment-Agnostic Pretrained World Models,"Learning visuomotor policies via imitation has proven effective across a wide
range of robotic domains. However, the performance of these policies is heavily
dependent on the number of training demonstrations, which requires expensive
data collection in the real world. In this work, we aim to reduce data
collection efforts when learning visuomotor robot policies by leveraging
existing or cost-effective data from a wide range of embodiments, such as
public robot datasets and the datasets of human...",2025-07-17,2025-07-17,cs.RO,"cs.RO,cs.AI,cs.LG",Yiqi Wang; Mrinal Verghese; Jeff Schneider,,,http://arxiv.org/pdf/2507.13340v1
2507.13339v1,"SpectraLift: Physics-Guided Spectral-Inversion Network for
  Self-Supervised Hyperspectral Image Super-Resolution","High-spatial-resolution hyperspectral images (HSI) are essential for
applications such as remote sensing and medical imaging, yet HSI sensors
inherently trade spatial detail for spectral richness. Fusing
high-spatial-resolution multispectral images (HR-MSI) with
low-spatial-resolution hyperspectral images (LR-HSI) is a promising route to
recover fine spatial structures without sacrificing spectral fidelity. Most
state-of-the-art methods for HSI-MSI fusion demand point spread function (PSF)
calib...",2025-07-17,2025-07-17,eess.IV,"eess.IV,cs.CV",Ritik Shah; Marco F. Duarte,,,http://arxiv.org/pdf/2507.13339v1
2507.13338v1,Training Transformers with Enforced Lipschitz Constants,"Neural networks are often highly sensitive to input and weight perturbations.
This sensitivity has been linked to pathologies such as vulnerability to
adversarial examples, divergent training, and overfitting. To combat these
problems, past research has looked at building neural networks entirely from
Lipschitz components. However, these techniques have not matured to the point
where researchers have trained a modern architecture such as a transformer with
a Lipschitz certificate enforced beyond...",2025-07-17,2025-07-17,cs.LG,cs.LG,Laker Newhouse; R. Preston Hess; Franz Cesista; Andrii Zahorodnii; Jeremy Bernstein; Phillip Isola,,,http://arxiv.org/pdf/2507.13338v1
2507.13337v1,"FormulaOne: Measuring the Depth of Algorithmic Reasoning Beyond
  Competitive Programming","Frontier AI models demonstrate formidable breadth of knowledge. But how close
are they to true human -- or superhuman -- expertise? Genuine experts can
tackle the hardest problems and push the boundaries of scientific
understanding. To illuminate the limits of frontier model capabilities, we turn
away from contrived competitive programming puzzles, and instead focus on
real-life research problems.
  We construct FormulaOne, a benchmark that lies at the intersection of graph
theory, logic, and al...",2025-07-17,2025-07-17,cs.AI,"cs.AI,cs.CC,math.LO",Gal Beniamini; Yuval Dor; Alon Vinnikov; Shir Granot Peled; Or Weinstein; Or Sharir; Noam Wies; Tomer Nussbaum; Ido Ben Shaul; Tomer Zekharya; Yoav Levine; Shai Shalev-Shwartz; Amnon Shashua,,,http://arxiv.org/pdf/2507.13337v1
2507.13336v1,"SGCL: Unifying Self-Supervised and Supervised Learning for Graph
  Recommendation","Recommender systems (RecSys) are essential for online platforms, providing
personalized suggestions to users within a vast sea of information.
Self-supervised graph learning seeks to harness high-order collaborative
filtering signals through unsupervised augmentation on the user-item bipartite
graph, primarily leveraging a multi-task learning framework that includes both
supervised recommendation loss and self-supervised contrastive loss. However,
this separate design introduces additional graph...",2025-07-17,2025-07-17,cs.IR,cs.IR,Weizhi Zhang; Liangwei Yang; Zihe Song; Henrry Peng Zou; Ke Xu; Yuanjie Zhu; Philip S. Yu,,,http://arxiv.org/pdf/2507.13336v1
2507.13335v1,"Comparing Apples to Oranges: A Dataset & Analysis of LLM Humour
  Understanding from Traditional Puns to Topical Jokes","Humour, as a complex language form, is derived from myriad aspects of life,
whilst existing work on computational humour has focussed almost exclusively on
short pun-based jokes. In this work, we investigate whether the ability of
Large Language Models (LLMs) to explain humour depends on the particular humour
form. We compare models on simple puns and more complex topical humour that
requires knowledge of real-world entities and events. In doing so, we curate a
dataset of 600 jokes split across ...",2025-07-17,2025-07-17,cs.CL,cs.CL,Tyler Loakman; William Thorne; Chenghua Lin,,,http://arxiv.org/pdf/2507.13335v1
2507.13334v1,A Survey of Context Engineering for Large Language Models,"The performance of Large Language Models (LLMs) is fundamentally determined
by the contextual information provided during inference. This survey introduces
Context Engineering, a formal discipline that transcends simple prompt design
to encompass the systematic optimization of information payloads for LLMs. We
present a comprehensive taxonomy decomposing Context Engineering into its
foundational components and the sophisticated implementations that integrate
them into intelligent systems. We fir...",2025-07-17,2025-07-17,cs.CL,cs.CL,Lingrui Mei; Jiayu Yao; Yuyao Ge; Yiwei Wang; Baolong Bi; Yujun Cai; Jiazhi Liu; Mingyu Li; Zhong-Zhi Li; Duzhen Zhang; Chenlin Zhou; Jiayi Mao; Tianze Xia; Jiafeng Guo; Shenghua Liu,,,http://arxiv.org/pdf/2507.13334v1
